TABELA_S4;TABELA_DS;VIEW_DS;STATUS
CPED_KNUMVTOGUID;S4H_TB_CPED_KNUMVTOGUID;S4H_VW_CPED_KNUMVTOGUID_R;
CPED_TERMGRPOUT;S4H_TB_CPED_TERMGRPOUT;S4H_VW_CPED_TERMGRPOUT_R;
CPED_TERMINPUT;S4H_TB_CPED_TERMINPUT;S4H_VW_CPED_TERMINPUT_R;
CRCA;S4H_TB_CRCA;S4H_VW_CRCA_R;
CRCO;S4H_TB_CRCO;S4H_VW_CRCO_R;
CRFH;S4H_TB_CRFH;S4H_VW_CRFH_R;
CRHD;S4H_TB_CRHD;S4H_VW_CRHD_R;
CRHH;S4H_TB_CRHH;S4H_VW_CRHH_R;
CRHS;S4H_TB_CRHS;S4H_VW_CRHS_R;
CRTX;S4H_TB_CRTX;S4H_VW_CRTX_R;
CRVD_A;S4H_TB_CRVD_A;S4H_VW_CRVD_A_R;
CRVD_B;S4H_TB_CRVD_B;S4H_VW_CRVD_B_R;
CRVE_A;S4H_TB_CRVE_A;S4H_VW_CRVE_A_R;
CRVE_B;S4H_TB_CRVE_B;S4H_VW_CRVE_B_R;
CRVM_A;S4H_TB_CRVM_A;S4H_VW_CRVM_A_R;
CRVM_B;S4H_TB_CRVM_B;S4H_VW_CRVM_B_R;
CRVP_A;S4H_TB_CRVP_A;S4H_VW_CRVP_A_R;
CRVP_B;S4H_TB_CRVP_B;S4H_VW_CRVP_B_R;
CRVS_A;S4H_TB_CRVS_A;S4H_VW_CRVS_A_R;
CRVS_B;S4H_TB_CRVS_B;S4H_VW_CRVS_B_R;
CSKS;S4H_TB_CSKS;S4H_VW_CSKS_R;
CSKT;S4H_TB_CSKT;S4H_VW_CSKT_R;
CSLA;S4H_TB_CSLA;S4H_VW_CSLA_R;
CSLT;S4H_TB_CSLT;S4H_VW_CSLT_R;
CSSK;S4H_TB_CSSK;S4H_VW_CSSK_R;
CSSL;S4H_TB_CSSL;S4H_VW_CSSL_R;
DD01L;S4H_TB_DD01L;S4H_VW_DD01L_R;
DD02L;S4H_TB_DD02L;S4H_VW_DD02L_R;
DD02T;S4H_TB_DD02T;S4H_VW_DD02T_R;
DD03L;S4H_TB_DD03L;S4H_VW_DD03L_R;
DD03T;S4H_TB_DD03T;S4H_VW_DD03T_R;
DD04L;S4H_TB_DD04L;S4H_VW_DD04L_R;
DD04T;S4H_TB_DD04T;S4H_VW_DD04T_R;
DD07T;S4H_TB_DD07T;S4H_VW_DD07T_R;
DD08L;S4H_TB_DD08L;S4H_VW_DD08L_R;
DFKKBPTAXNUM;S4H_TB_DFKKBPTAXNUM;S4H_VW_DFKKBPTAXNUM_R;
DMS_DOC_FILES;S4H_TB_DMS_DOC_FILES;S4H_VW_DMS_DOC_FILES_R;
DMS_DOC2LOIO;S4H_TB_DMS_DOC2LOIO;S4H_VW_DMS_DOC2LOIO_R;
DMS_PH_CD1;S4H_TB_DMS_PH_CD1;S4H_VW_DMS_PH_CD1_R;
DMS_PHIO2FILE;S4H_TB_DMS_PHIO2FILE;S4H_VW_DMS_PHIO2FILE_R;
DRAD;S4H_TB_DRAD;S4H_VW_DRAD_R;
DRAP;S4H_TB_DRAP;S4H_VW_DRAP_R;
DRAT;S4H_TB_DRAT;S4H_VW_DRAT_R;
DRAW;S4H_TB_DRAW;S4H_VW_DRAW_R;
E070;S4H_TB_E070;S4H_VW_E070_R;
E070A;S4H_TB_E070A;S4H_VW_E070A_R;
E071;S4H_TB_E071;S4H_VW_E071_R;
E071K;S4H_TB_E071K;S4H_VW_E071K_R;
E07T;S4H_TB_E07T;S4H_VW_E07T_R;
EAML_D_LFE_DATA;S4H_TB_EAML_D_LFE_DATA;S4H_VW_EAML_D_LFE_DATA_R;
EAPL;S4H_TB_EAPL;S4H_VW_EAPL_R;
EBAN;S4H_TB_EBAN;S4H_VW_EBAN_R;
EBAN_TECH;S4H_TB_EBAN_TECH;S4H_VW_EBAN_TECH_R;
EBEW;S4H_TB_EBEW;S4H_VW_EBEW_R;
EBUB;S4H_TB_EBUB;S4H_VW_EBUB_R;
EHFNDC_ACTEFF_T;S4H_TB_EHFNDC_ACTEFF_T;S4H_VW_EHFNDC_ACTEFF_T_R;
EHFNDC_ACTPRTG_T;S4H_TB_EHFNDC_ACTPRTG_T;S4H_VW_EHFNDC_ACTPRTG_T_R;
EHFNDC_ACTSUB_T;S4H_TB_EHFNDC_ACTSUB_T;S4H_VW_EHFNDC_ACTSUB_T_R;
EHFNDC_ACTTYPE_T;S4H_TB_EHFNDC_ACTTYPE_T;S4H_VW_EHFNDC_ACTTYPE_T_R;
EHFNDC_PERGRP_T;S4H_TB_EHFNDC_PERGRP_T;S4H_VW_EHFNDC_PERGRP_T_R;
EHFNDC_PTY_TYP_T;S4H_TB_EHFNDC_PTY_TYP_T;S4H_VW_EHFNDC_PTY_TYP_T_R;
EHFNDD_LHR_HIER;S4H_TB_EHFNDD_LHR_HIER;S4H_VW_EHFNDD_LHR_HIER_R;
EHFNDD_LHR_REV;S4H_TB_EHFNDD_LHR_REV;S4H_VW_EHFNDD_LHR_REV_R;
EHFNDD_LOC_REV;S4H_TB_EHFNDD_LOC_REV;S4H_VW_EHFNDD_LOC_REV_R;
EHFNDD_LOC_ROOT;S4H_TB_EHFNDD_LOC_ROOT;S4H_VW_EHFNDD_LOC_ROOT_R;
EHFNDD_LOC_TEXT;S4H_TB_EHFNDD_LOC_TEXT;S4H_VW_EHFNDD_LOC_TEXT_R;
EHFNDD_PSE_RECUR;S4H_TB_EHFNDD_PSE_RECUR;S4H_VW_EHFNDD_PSE_RECUR_R;
EHFNDD_PSE_ROOT;S4H_TB_EHFNDD_PSE_ROOT;S4H_VW_EHFNDD_PSE_ROOT_R;
EHHSSC_BDYPART_T;S4H_TB_EHHSSC_BDYPART_T;S4H_VW_EHHSSC_BDYPART_T_R;
