CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_TVSB;RS_S4H_PUB_003;S4H_TB_TVSB;S4H_VW_TVSB_R;
ZS4_VCI_TVSBT;RS_S4H_PUB_003;S4H_TB_TVSBT;S4H_VW_TVSBT_R;
ZS4_VCI_TVSD;RS_S4H_PUB_003;S4H_TB_TVSD;S4H_VW_TVSD_R;
ZS4_VCI_TVSDT;RS_S4H_PUB_003;S4H_TB_TVSDT;S4H_VW_TVSDT_R;
ZS4_VCI_TVST;RS_S4H_PUB_003;S4H_TB_TVST;S4H_VW_TVST_R;
ZS4_VCI_TVSTT;RS_S4H_PUB_003;S4H_TB_TVSTT;S4H_VW_TVSTT_R;
ZS4_VCI_TVTA;RS_S4H_PUB_003;S4H_TB_TVTA;S4H_VW_TVTA_R;
ZS4_VCI_TVTRT;RS_S4H_PUB_003;S4H_TB_TVTRT;S4H_VW_TVTRT_R;
ZS4_VCI_TVTW;RS_S4H_PUB_003;S4H_TB_TVTW;S4H_VW_TVTW_R;
ZS4_VCI_TVTWT;RS_S4H_PUB_003;S4H_TB_TVTWT;S4H_VW_TVTWT_R;
ZS4_VCI_TVV1T;RS_S4H_PUB_003;S4H_TB_TVV1T;S4H_VW_TVV1T_R;
ZS4_VCI_TVV2T;RS_S4H_PUB_003;S4H_TB_TVV2T;S4H_VW_TVV2T_R;
ZS4_VCI_TVV3T;RS_S4H_PUB_003;S4H_TB_TVV3T;S4H_VW_TVV3T_R;
ZS4_VCI_TVV4T;RS_S4H_PUB_003;S4H_TB_TVV4T;S4H_VW_TVV4T_R;
ZS4_VCI_TVV5T;RS_S4H_PUB_003;S4H_TB_TVV5T;S4H_VW_TVV5T_R;
ZS4_VCI_TVZB;RS_S4H_PUB_003;S4H_TB_TVZB;S4H_VW_TVZB_R;
ZS4_VCI_TVZBT;RS_S4H_PUB_003;S4H_TB_TVZBT;S4H_VW_TVZBT_R;
ZS4_VCI_TZONE;RS_S4H_PUB_003;S4H_TB_TZONE;S4H_VW_TZONE_R;
ZS4_VCI_TZONT;RS_S4H_PUB_003;S4H_TB_TZONT;S4H_VW_TZONT_R;
ZS4_VCI_TZUNT;RS_S4H_PUB_003;S4H_TB_TZUNT;S4H_VW_TZUNT_R;
ZS4_VCI_USCOMPANY;RS_S4H_PUB_003;S4H_TB_USCOMPANY;S4H_VW_USCOMPANY_R;
ZS4_VCI_USH04;RS_S4H_PUB_003;S4H_TB_USH04;S4H_VW_USH04_R;
ZS4_VCI_USR02;RS_S4H_PUB_003;S4H_TB_USR02;S4H_VW_USR02_R;
ZS4_VCI_USR06;RS_S4H_PUB_003;S4H_TB_USR06;S4H_VW_USR06_R;
ZS4_VCI_USR21;RS_S4H_PUB_003;S4H_TB_USR21;S4H_VW_USR21_R;
ZS4_VCI_VAKGU;RS_S4H_PUB_003;S4H_TB_VAKGU;S4H_VW_VAKGU_R;
ZS4_VCI_VAKPA;RS_S4H_PUB_003;S4H_TB_VAKPA;S4H_VW_VAKPA_R;
ZS4_VCI_VAPMA;RS_S4H_PUB_003;S4H_TB_VAPMA;S4H_VW_VAPMA_R;
VC_INTEGRATION_VBAK;RS_S4H_PUB_003;S4H_TB_VBAK;S4H_VW_VBAK_R;
VC_INTEGRATION_VBAP;RS_S4H_PUB_003;S4H_TB_VBAP;S4H_VW_VBAP_R;
ZS4_VCI_VBEP;RS_S4H_PUB_003;S4H_TB_VBEP;S4H_VW_VBEP_R;
ZS4_VCI_VBEX;RS_S4H_PUB_003;S4H_TB_VBEX;S4H_VW_VBEX_R;
ZS4_VCI_VBFA;RS_S4H_PUB_003;S4H_TB_VBFA;S4H_VW_VBFA_R;
ZS4_VCI_VBKD;RS_S4H_PUB_003;S4H_TB_VBKD;S4H_VW_VBKD_R;
ZS4_VCI_VBKPF;RS_S4H_PUB_003;S4H_TB_VBKPF;S4H_VW_VBKPF_R;
ZS4_VCI_VBPA;RS_S4H_PUB_003;S4H_TB_VBPA;S4H_VW_VBPA_R;
ZS4_VCI_VBRK;RS_S4H_PUB_003;S4H_TB_VBRK;S4H_VW_VBRK_R;
ZS4_VCI_VBRP;RS_S4H_PUB_003;S4H_TB_VBRP;S4H_VW_VBRP_R;
ZS4_VCI_VBSEGK;RS_S4H_PUB_003;S4H_TB_VBSEGK;S4H_VW_VBSEGK_R;
ZS4_VCI_VBUK;RS_S4H_PUB_003;S4H_TB_VBUK;S4H_VW_VBUK_R;
ZS4_VCI_VBUP;RS_S4H_PUB_003;S4H_TB_VBUP;S4H_VW_VBUP_R;
ZS4_VCI_VEKP;RS_S4H_PUB_003;S4H_TB_VEKP;S4H_VW_VEKP_R;
ZS4_VCI_VEPO;RS_S4H_PUB_003;S4H_TB_VEPO;S4H_VW_VEPO_R;
ZS4_VCI_VFKK;RS_S4H_PUB_003;S4H_TB_VFKK;S4H_VW_VFKK_R;
ZS4_VCI_VFKN;RS_S4H_PUB_003;S4H_TB_VFKN;S4H_VW_VFKN_R;
ZS4_VCI_VFKP;RS_S4H_PUB_003;S4H_TB_VFKP;S4H_VW_VFKP_R;
ZS4_VCI_VRPMA;RS_S4H_PUB_003;S4H_TB_VRPMA;S4H_VW_VRPMA_R;
ZS4_VCI_VSAFFH_CN;RS_S4H_PUB_003;S4H_TB_VSAFFH_CN;S4H_VW_VSAFFH_CN_R;
ZS4_VCI_VSAFKO_CN;RS_S4H_PUB_003;S4H_TB_VSAFKO_CN;S4H_VW_VSAFKO_CN_R;
ZS4_VCI_VSAFPO_CN;RS_S4H_PUB_003;S4H_TB_VSAFPO_CN;S4H_VW_VSAFPO_CN_R;
ZS4_VCI_VSAFVC_CN;RS_S4H_PUB_003;S4H_TB_VSAFVC_CN;S4H_VW_VSAFVC_CN_R;
ZS4_VCI_VSAFVU_CN;RS_S4H_PUB_003;S4H_TB_VSAFVU_CN;S4H_VW_VSAFVU_CN_R;
ZS4_VCI_VSAFVV_CN;RS_S4H_PUB_003;S4H_TB_VSAFVV_CN;S4H_VW_VSAFVV_CN_R;
ZS4_VCI_VSAUFK_CN;RS_S4H_PUB_003;S4H_TB_VSAUFK_CN;S4H_VW_VSAUFK_CN_R;
ZS4_VCI_VSEBAN_CN;RS_S4H_PUB_003;S4H_TB_VSEBAN_CN;S4H_VW_VSEBAN_CN_R;
ZS4_VCI_VSKBED_CN;RS_S4H_PUB_003;S4H_TB_VSKBED_CN;S4H_VW_VSKBED_CN_R;
ZS4_VCI_VSPROJ_CN;RS_S4H_PUB_003;S4H_TB_VSPROJ_CN;S4H_VW_VSPROJ_CN_R;
